Pathogen,table_id,Food_category,Year,Serotype,Burden,Trajectory,Year_range,No_of_illnesses,Burden_sort_order,Trajectory_sort_order,Master_sort_order
Salmonella,Chicken_Anatum_2011-2015,Chicken,2020,Anatum,Low,Increased,2011-2015,0,3,1,7
Salmonella,Chicken_Anatum_2016-2020,Chicken,2020,Anatum,Low,Increased,2016-2020,4,3,1,7
Salmonella,Chicken_Muenchen_2011-2015,Chicken,2020,Muenchen,Low,Stable,2011-2015,3,3,2,8
Salmonella,Chicken_Muenchen_2016-2020,Chicken,2020,Muenchen,Low,Stable,2016-2020,2,3,2,8
Salmonella,Chicken_Carmel_2011-2015,Chicken,2020,Carmel,Low,Decreased,2011-2015,33,3,3,9
Salmonella,Chicken_Carmel_2016-2020,Chicken,2020,Carmel,Low,Decreased,2016-2020,0,3,3,9
Salmonella,Chicken_Derby_2011-2015,Chicken,2020,Derby,Low,Decreased,2011-2015,3,3,3,9
Salmonella,Chicken_Derby_2016-2020,Chicken,2020,Derby,Low,Decreased,2016-2020,0,3,3,9
Salmonella,Chicken_Javiana_2011-2015,Chicken,2020,Javiana,Low,Decreased,2011-2015,45,3,3,9
Salmonella,Chicken_Javiana_2016-2020,Chicken,2020,Javiana,Low,Decreased,2016-2020,0,3,3,9
Salmonella,Chicken_Montevideo_2011-2015,Chicken,2020,Montevideo,Low,Decreased,2011-2015,317,3,3,9
Salmonella,Chicken_Montevideo_2016-2020,Chicken,2020,Montevideo,Low,Decreased,2016-2020,0,3,3,9
Salmonella,Chicken_Newport_2011-2015,Chicken,2020,Newport,Low,Decreased,2011-2015,8,3,3,9
Salmonella,Chicken_Newport_2016-2020,Chicken,2020,Newport,Low,Decreased,2016-2020,0,3,3,9
Salmonella,Chicken_Schwarzengrund_2011-2015,Chicken,2020,Schwarzengrund,Low,Decreased,2011-2015,16,3,3,9
Salmonella,Chicken_Schwarzengrund_2016-2020,Chicken,2020,Schwarzengrund,Low,Decreased,2016-2020,0,3,3,9
Salmonella,Pork_Typhimurium_2011-2015,Pork,2020,Typhimurium,High,Decreased,2011-2015,411,1,3,3
Salmonella,Pork_Typhimurium_2016-2020,Pork,2020,Typhimurium,High,Decreased,2016-2020,184,1,3,3
Salmonella,"Pork_I 4,[5],12:i:-_2011-2015",Pork,2020,"I 4,[5],12:i:-",High,Decreased,2011-2015,477,1,3,3
Salmonella,"Pork_I 4,[5],12:i:-_2016-2020",Pork,2020,"I 4,[5],12:i:-",High,Decreased,2016-2020,150,1,3,3
Salmonella,Pork_Muenchen_2011-2015,Pork,2020,Muenchen,High,Increased,2011-2015,0,1,1,1
Salmonella,Pork_Muenchen_2016-2020,Pork,2020,Muenchen,High,Increased,2016-2020,99,1,1,1
Salmonella,Pork_Infantis_2011-2015,Pork,2020,Infantis,Moderate,Increased,2011-2015,28,2,1,4
Salmonella,Pork_Infantis_2016-2020,Pork,2020,Infantis,Moderate,Increased,2016-2020,85,2,1,4
